title,slug,product_url,primary_image_storage_path
"Nyarlathotep Black Pharaoh Miniature",nyarlathotep-black-pharaoh-miniature,"https://emperiumforgeworks.com/shop/nyarlathotep-black-pharaoh-miniature","products/nyarlathotep-black-pharaoh-miniature/1781361415776-black-pharaoh_front.jpg"
"Abyssal Demon Lord Miniature",abyssal-demon-lord-miniature,"https://emperiumforgeworks.com/shop/abyssal-demon-lord-miniature","products/abyssal-demon-lord-miniature/1781356890830-Demogorgon__F__-_Com_Logo.png"
"Armored Knight Miniature",armored-knight-miniature,"https://emperiumforgeworks.com/shop/armored-knight-miniature","products/armored-knight-miniature/1781561478344-720X720-Cavaleiro__F__-_Com_Logo.png"
"Avatar of Nyarlathotep",avatar-of-nyarlathotep,"https://emperiumforgeworks.com/shop/avatar-of-nyarlathotep","products/avatar-of-nyarlathotep/1781361958870-avatar-of-nyarlathotep_size_comparison.jpg"
"Boar Riding Dwarf Miniature",boar-riding-dwarf-miniature,"https://emperiumforgeworks.com/shop/boar-riding-dwarf-miniature","products/boar-riding-dwarf-miniature/1781552794509-An_o_Guerreiro_Javali__F__-_Com_Logo.png"
"Dimensional Shambler",dimensional-shambler,"https://emperiumforgeworks.com/shop/dimensional-shambler","products/dimensional-shambler/1781381934253-720X720-11.jpg"
"Exterminator Battle Chaplain",chaplain-elite-exterminators-miniature-sci-fi-armored-warrior-42mm-resin-model-power-sword-claw,"https://emperiumforgeworks.com/shop/chaplain-elite-exterminators-miniature-sci-fi-armored-warrior-42mm-resin-model-power-sword-claw","products/chaplain-elite-exterminators-miniature-sci-fi-armored-warrior-42mm-resin-model-power-sword-claw/1781292101316-chaplain_1.jpg"
"Exterminators",5-pack-exterminator-miniatures-sci-fi-armored-wargame-figures,"https://emperiumforgeworks.com/shop/5-pack-exterminator-miniatures-sci-fi-armored-wargame-figures","products/5-pack-exterminator-miniatures-sci-fi-armored-wargame-figures/1781291110972-group.jpg"
"Female Samurai",female-samurai,"https://emperiumforgeworks.com/shop/female-samurai","products/female-samurai/1781545160591-720X720-Sanurai__F__-_Com_Logo.png"
"Female Samurai Miniature",female-samurai-miniature-dual-katana-warrior-resin-figure-unpainted,"https://emperiumforgeworks.com/shop/female-samurai-miniature-dual-katana-warrior-resin-figure-unpainted","products/female-samurai-miniature-dual-katana-warrior-resin-figure-unpainted/1781321247608-720X720-Samurai_Humana__F__-_Com_Logo.png"
"Frostland Berserker",frostland-berserker,"https://emperiumforgeworks.com/shop/frostland-berserker","products/frostland-berserker/1781355954015-720X720-Barbaro_-_Humano__F__-_Com_Logo.png"
"Ghatanothoa Miniature Set",ghatanothoa-miniature-set,"https://emperiumforgeworks.com/shop/ghatanothoa-miniature-set","products/ghatanothoa-miniature-set/1781382368465-Cover.jpg"
"Half-Orc Fighter Miniature",half-orc-fighter,"https://emperiumforgeworks.com/shop/half-orc-fighter","products/half-orc-fighter/1780610830574-720X720-Meia_Orc_-_Lutadora__F__-_Com_Logo.png"
"Heavy Combat Exorcist",heavy-combat-exorcist,"https://emperiumforgeworks.com/shop/heavy-combat-exorcist","products/heavy-combat-exorcist/1781356498869-exorcist-1.jpg"
"Human Necromancer Champion",human-necromancer-champion,"https://emperiumforgeworks.com/shop/human-necromancer-champion","products/human-necromancer-champion/1781357877373-720X720-Humano_Necromancer__F__-_Com_Logo.png"
"Human Warrior",human-warrior,"https://emperiumforgeworks.com/shop/human-warrior","products/human-warrior/1781356257728-720X720-Humano_Guerreiro__F__-_Com_Logo.png"
"Infernal Demons and Dark Cultists",infernal-demons-and-dark-cultists,"https://emperiumforgeworks.com/shop/infernal-demons-and-dark-cultists","products/infernal-demons-and-dark-cultists/1781359793768-thumbnail.jpg"
"Ithaqua Wind-Walker",ithaqua-wind-walker,"https://emperiumforgeworks.com/shop/ithaqua-wind-walker","products/ithaqua-wind-walker/1781360929437-720X720-06.jpg"
"Lich King",lich-king,"https://emperiumforgeworks.com/shop/lich-king","products/lich-king/1781560711873-Lich__F__-_Com_Logo.png"
"Orc Barbarian Miniature",orc-barbarian-miniature,"https://emperiumforgeworks.com/shop/orc-barbarian-miniature","products/orc-barbarian-miniature/1781383372421-720X720-Guerreiro_-_Orc__F__-_Com_Logo.png"
"Rugged Demon Hunter",rugged-demon-hunter,"https://emperiumforgeworks.com/shop/rugged-demon-hunter","products/rugged-demon-hunter-dark-fantasy-miniature-unpainted-resin-print/1781321608695-720X720-Humano__Guerreiro__F__-_Com_Logo.png"
"Silver Wardens Chaplain",silver-wardens-chaplain-gothic-armored-champion-miniature-licensed-dmg-minis-design,"https://emperiumforgeworks.com/shop/silver-wardens-chaplain-gothic-armored-champion-miniature-licensed-dmg-minis-design","products/silver-wardens-chaplain-gothic-armored-champion-miniature-licensed-dmg-minis-design/1781294251341-SW_Chap_v2_WM.jpg"
"Silver Wardens Heavy Armor Retinue",silver-wardens-heavy-armor-retinue-heroic-scale-resin-miniatures-optional-upgraded-scenic-bases-licensed-dmg-miniatures,"https://emperiumforgeworks.com/shop/silver-wardens-heavy-armor-retinue-heroic-scale-resin-miniatures-optional-upgraded-scenic-bases-licensed-dmg-miniatures","products/silver-wardens-heavy-armor-retinue-heroic-scale-resin-miniatures-optional-upgraded-scenic-bases-licensed-dmg-miniatures/1781295658164-720X720-Cortez_w_retinue_WM.webp"
"Skeletal Mage",skeletal-mage,"https://emperiumforgeworks.com/shop/skeletal-mage","products/skeletal-mage/1781323388597-720X720-Esqueleto_Mago__F__-_Com_Logo.png"
"Skeletal Warbands",skeletal-warbands,"https://emperiumforgeworks.com/shop/skeletal-warbands","products/skeletal-warbands/1781460990666-skellies_encounter_cover.png"
"Sword and Shield Warrior",sword-board-warrior,"https://emperiumforgeworks.com/shop/sword-board-warrior","products/sword-board-warrior/1781325359554-Guerreiro_-_Humano__F__-_Com_Logo.png"
