id,title,description,availability,availability_date,expiration_date,link,mobile_link,image_link,price,sale_price,sale_price_effective_date,identifier_exists,gtin,mpn,brand,product_highlight,product_detail,additional_image_link,condition,adult,color,size,size_type,size_system,gender,material,pattern,age_group,multipack,is bundle,unit_pricing_measure,unit_pricing_base_measure,energy_efficiency_class,min_energy_efficiency_class,max_energy_efficiency,item_group_id,video_link,virtual_model_link,cost_of_goods_sold
nyarlathotep-black-pharaoh-miniature,Nyarlathotep Black Pharaoh Miniature,"Bow before the Avatar of Nyarlathotep – The Black Pharaoh, a towering eldritch entity draped in flowing necrotic robes and accompanied by a monstrous servant. This sculpt captures the regal terror and cosmic authority of one of Lovecraft’s most enigmatic Outer Gods—perfect for display painters, horror RPG encounters, or collectors of dark fantasy art. ⚠️ Please Note: This listing is for an UNPAINTED and UNASSEMBLED resin miniature. The painted images shown are official promotional renders to showcase the sculpt’s detail and painting potential. ⚔️ About the MiniatureMajestic and terrifying avatar of Nyarlathotep in his Black Pharaoh aspect Flowing, skeletal‑infused robes with swirling supernatural motion Staff crowned with skulls and horned elements for a ritualistic presence Accompanying eldritch beast with tentacled visage and muscular anatomy Perfect centerpiece for cosmic horror displays, RPG bosses, or diorama builds 🧱 Print QualityPrinted in high-resolution resin for crisp, clean details Carefully cleaned and cured Supports removed with attention to preserving fine detail 📏 Available Sizes75mm (base to head) 135mm (base to head) Custom sizes are available upon request—please send a message for pricing and availability. 🎨 Perfect for Painters & Collectors This sculpt offers a dramatic mix of textures—flowing cloth, skeletal forms, horns, claws, and eldritch anatomy—making it ideal for OSL, cosmic color schemes, eerie glows, and high‑contrast display work. A true showpiece for any Lovecraftian collection. 📜 Licensing & CreditsThis miniature is officially licensed for physical sale. Sculpt & Design: NS Miniatures Promotional Images: Provided by NS Miniatures 📦 Shipping & HandlingSecurely packaged to prevent damage Processing times listed in shop policies",in_stock,,,https://emperiumforgeworks.com/shop/nyarlathotep-black-pharaoh-miniature,,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/nyarlathotep-black-pharaoh-miniature/1781361415776-black-pharaoh_front.jpg,26.50 USD,,,no,,nyarlathotep-black-pharaoh-miniature,Emperium Forgeworks,"""Unpainted resin miniature"", ""High-resolution resin print"", ""Horror collectible""",Category: Horror,"https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/nyarlathotep-black-pharaoh-miniature/1781361415442-black-pharaoh_face.jpg,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/nyarlathotep-black-pharaoh-miniature/1781361415931-black-pharaoh_right.jpg,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/nyarlathotep-black-pharaoh-miniature/1781361416325-black-pharaoh_right2.jpg,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/nyarlathotep-black-pharaoh-miniature/1781361415036-black-pharaoh_back.jpg,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/nyarlathotep-black-pharaoh-miniature/1781361414333-black-pharaoh_size_comparison.jpg",new,no,,,,,,Resin,,adult,,,,,,,,,,,
abyssal-demon-lord-miniature,Abyssal Demon Lord Miniature,"Unleash an apex fiend onto your tabletop with this towering Demogorgon-inspired Abyssal Demon miniature. With two monstrous heads, powerful scaled musculature, and massive tentacled limbs erupting from its body, this creature commands immediate attention. Standing over 100mm tall on a rocky base, it’s an unforgettable centerpiece for painters, collectors, and high‑level tabletop encounters. ⚠️ Please Note: This listing is for an UNPAINTED resin miniature. The painted images shown are official promotional renders to showcase the sculpt’s detail and painting potential. ⚔️ About the MiniatureHigh‑detail two‑headed abyssal demon design Massive tentacles, scaled textures, and dynamic forward‑driving pose Stands on a sculpted rocky base for added presence Ideal for DnD, Pathfinder, and other fantasy tabletop RPGs Perfect for display painting or as a campaign‑defining boss monster 🧱 Print QualityPrinted in high-resolution resin for crisp, clean details Carefully cleaned and cured Supports removed with attention to preserving fine detail 📏 Available Sizes104mm Custom sizes are available upon request—please send a message for pricing and availability. 🎨 For HobbyistsThis model is a dream project for painters who enjoy dramatic textures—scales, ridges, tentacles, and layered anatomy. Its imposing silhouette and intricate surface detail make it a rewarding centerpiece for both experienced painters and ambitious newcomers. 📜 Licensing & CreditsThis miniature is officially licensed for physical sale. Sculpt & Design: Dungeon Master Shop Promotional Images: Provided by Dungeon Master Shop 📦 Shipping & HandlingSecurely packaged to prevent damage Processing times listed in shop policies",in_stock,,,https://emperiumforgeworks.com/shop/abyssal-demon-lord-miniature,,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/abyssal-demon-lord-miniature/1781356890830-Demogorgon__F__-_Com_Logo.png,59.99 USD,,,no,,abyssal-demon-lord-miniature,Emperium Forgeworks,"""Unpainted resin miniature"", ""High-resolution resin print"", ""Fantasy collectible""",Category: Fantasy,"https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/abyssal-demon-lord-miniature/1781356896909-Demogorgon__C__-_Com_Logo.png,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/abyssal-demon-lord-miniature/1781356871527-DSC_7163.JPG,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/abyssal-demon-lord-miniature/1781356872356-DSC_7164.JPG,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/abyssal-demon-lord-miniature/1781356872921-DSC_7169.JPG,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/abyssal-demon-lord-miniature/1781356873573-DSC_7171.JPG,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/abyssal-demon-lord-miniature/1781356874032-DSC_7174.JPG,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/abyssal-demon-lord-miniature/1781356874646-left-side__1_.jpg,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/abyssal-demon-lord-miniature/1781356875198-left-side__2_.jpg",new,no,,,,,,Resin,,adult,,,,,,,,,,,
armored-knight-miniature,Armored Knight Miniature,"Stride into battle with this Armored Knight miniature — a heavily plated warrior wielding a massive greatsword and wrapped in a tattered, wind‑torn cape. This sculpt captures the weight, grit, and menace of a seasoned fighter, making it an ideal centerpiece for tabletop encounters or a dramatic display project for painters. ⚠️ Please Note: This listing is for an UNPAINTED resin miniature. The painted images shown are official promotional renders to showcase the sculpt’s detail and painting potential. ⚔️ About the Miniature Full plate armor with weathered, battle‑scarred detailing Massive greatsword raised in a dynamic, ready‑to‑strike pose Tattered cape flowing behind for added motion and drama Layered metal textures perfect for NMM or TMM painting styles Works as a knight, dark champion, elite guard, or boss encounter Ideal for DnD, Pathfinder, wargames, or display shelves 🧱 Print Quality Printed in high‑resolution resin for crisp, clean details Carefully cleaned and cured Supports removed with attention to preserving fine detail 📏 Available Sizes 32mm (standard tabletop scale) 40mm (heroic scale) 75mm (display scale) 150mm (statue size) Custom sizes are available upon request — please send a message for pricing and availability. 🎨 For Hobbyists This model is perfect for painters who love metallics, weathering, and dramatic lighting. The armor plates, torn cape, and greatsword offer excellent surfaces for edge highlights, rust effects, and high‑contrast shading. Great for both beginners and experienced painters. 📜 Licensing & Credits This miniature is officially licensed for physical sale. Sculpt & Design: Dungeon Master Shop Promotional Images: Provided by Dungeon Master Shop 📦 Shipping & Handling Securely packaged to prevent damage Fast shipping",in_stock,,,https://emperiumforgeworks.com/shop/armored-knight-miniature,,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/armored-knight-miniature/1781561478344-720X720-Cavaleiro__F__-_Com_Logo.png,10.99 USD,,,no,,armored-knight-miniature,Emperium Forgeworks,"""Unpainted resin miniature"", ""High-resolution resin print"", ""Fantasy collectible""",Category: Fantasy,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/armored-knight-miniature/1781561481156-720X720-Cavaleiro__C__-_Com_Logo.png,new,no,,,,,,Resin,,adult,,,,,,,,,,,
avatar-of-nyarlathotep,Avatar of Nyarlathotep,"👁️ About This Eldritch Avatar Descend into cosmic terror with the Avatar of Nyarlathotep – The Haunter of the Dark, a towering manifestation of madness perched upon crumbling gothic stone. This monstrous winged entity looms with predatory stillness, its alien anatomy twisting between demonic, insectoid, and otherworldly forms. Designed as a true centerpiece, this sculpt brings the dread of the Outer Gods directly to your tabletop, display shelf, or diorama. Whether you’re a horror RPG storyteller, a collector of the macabre, or a painter seeking dramatic textures and lighting opportunities, this avatar delivers an unforgettable presence. ⚠️ Please Note: This listing is for an UNPAINTED and UNASSEMBLED resin miniature. The painted images shown are official promotional renders to showcase the sculpt’s detail and painting potential. ⚔️ About the MiniatureMassive winged Outer God in a perched, stalking pose Multi‑layered wings, talons, and alien facial structures Gothic rooftop base with stonework, shingles, and graveyard elements Deep recesses and sharp edges ideal for OSL, cosmic hues, and high‑contrast schemes 🧱 Print QualityPrinted in high-resolution resin for crisp, clean details Carefully cleaned and cured Supports removed with attention to preserving fine detail Large models may ship in multiple parts for safe transport and easy assembly Light sanding may be required This model is provided unpainted 📏 Available Sizes150mm (base to head) 200mm (base to head) Custom sizes are available upon request—please send a message for pricing and availability. 🎨 Ideal for Painters & CollectorsThis sculpt offers a rich blend of textures: stone, wings, claws, alien carapace, and layered anatomy. Perfect for: Atmospheric lighting Cosmic color schemes Horror palettes Display‑grade contrast work A true showpiece for any eldritch collection. 📜 Licensing & CreditsThis miniature is officially licensed for physical sale. Sculpt & Design: NS Miniatures Promotional Images: Provided by NS Miniatures 📦 Shipping & HandlingSecurely packaged to prevent damage Processing times listed in shop policies",in_stock,,,https://emperiumforgeworks.com/shop/avatar-of-nyarlathotep,,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/avatar-of-nyarlathotep/1781361958870-avatar-of-nyarlathotep_size_comparison.jpg,74.99 USD,,,no,,avatar-of-nyarlathotep,Emperium Forgeworks,"""Unpainted resin miniature"", ""High-resolution resin print"", ""Horror collectible""",Category: Horror,"https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/avatar-of-nyarlathotep/1781361959655-avatar-of-nyarlathotep_size_comparison2.jpg,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/avatar-of-nyarlathotep/1781361961478-avatar-of-nyarlathotep_front2.jpg,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/avatar-of-nyarlathotep/1781361961098-avatar-of-nyarlathotep_front_entire.jpg,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/avatar-of-nyarlathotep/1781361960581-avatar-of-nyarlathotep_front.jpg,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/avatar-of-nyarlathotep/1781361961948-avatar-of-nyarlathotep_rear.jpg,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/avatar-of-nyarlathotep/1781361960207-avatar-of-nyarlathotep_base.jpg,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/avatar-of-nyarlathotep/1781361960082-avatar-of-nyarlathotep_assembly.jpg",new,no,,,,,,Resin,,adult,,,,,,,,,,,
boar-riding-dwarf-miniature,Boar Riding Dwarf Miniature,"Charge into battle atop a roaring, armored war‑boar with this Boar‑Rider Dwarf miniature — a brutal, high‑detail sculpt featuring a horned warrior gripping a massive double‑bladed axe while his armored mount thunders forward. This piece is packed with texture, motion, and character, making it a standout choice for painters, collectors, and tabletop adventurers. ⚠️ Please Note: This listing is for an UNPAINTED resin miniature. The painted images shown are official promotional renders to showcase the sculpt’s detail and painting potential. ⚔️ About the Miniature Savage dwarf warrior riding an armored war‑boar Massive double‑bladed axe and engraved round shield Heavy fur and metal armor with horned helmet Boar mount features spiked plating, rivets, and battle‑worn textures Scenic base with rocks, grass, and environmental detail Perfect centerpiece for DnD, Pathfinder, wargames, or display shelves 🧱 Print Quality Printed in high‑resolution resin for crisp, clean details Carefully cleaned and cured Supports removed with attention to preserving fine detail 📏 Available Sizes 32mm (standard tabletop scale) 40mm (heroic scale) 75mm (display scale) 150mm (statue size) Custom sizes are available upon request — please send a message for pricing and availability. 🎨 For Hobbyists This model is a dream for painters who love texture: fur, leather, metal, wood grain, and creature armor all come together to create a dynamic, rewarding project. Ideal for both beginners and experienced painters looking for a dramatic display piece. 📜 Licensing & Credits This miniature is officially licensed for physical sale. Sculpt & Design: Dungeon Master Shop Promotional Images: Provided by Dungeon Master Shop 📦 Shipping & Handling Securely packaged to prevent damage Fast shipping",in_stock,,,https://emperiumforgeworks.com/shop/boar-riding-dwarf-miniature,,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/boar-riding-dwarf-miniature/1781552794509-An_o_Guerreiro_Javali__F__-_Com_Logo.png,10.99 USD,,,no,,boar-riding-dwarf-miniature,Emperium Forgeworks,"""Unpainted resin miniature"", ""High-resolution resin print"", ""Fantasy collectible""",Category: Fantasy,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/boar-riding-dwarf-miniature/1781552793909-An_o_Guerreiro_Javali__C__-_Com_Logo.png,new,no,,,,,,Resin,,adult,,,,,,,,,,,
demon-hunters-heavy-armor-squad,Demon Hunters Heavy Armor Squad,"From the vaults of forgotten crusades comes the Demon Hunters Heavy Armor Squad, a modular arsenal of sanctified war‑plate and relic steel. Every piece in this kit — every helm, every blade, every purity seal — carries the weight of warriors who stride into the abyss and dare it to blink. This is not a simple miniature. This is a kit basher's dream, a cathedral of options, a shrine of customization for those who build champions rather than merely assemble them. ⚠️ Please Note: This listing is for UNPAINTED resin miniatures. The painted images shown are official promotional renders to showcase the sculpt’s detail and painting potential. ⚔️ About the MiniaturesEverything shown in the images is included. Every piece is yours to command. Armored torsos engraved with runes of judgment and oath‑bound iconography Helmets ranging from knightly visors to arcane, soul‑warding masks Modular legs and arms for dynamic, righteous poses Relic blades, halberds, sanctified swords, heavy guns, pistols, and brutal close‑combat weapons Banners, purity seals, relic plates, and decorative armor trims for your zealots Backpacks, accessories, alternate loadouts, and enough bits to forge entire warbands 🧱 Print QualityPrinted in high-resolution resin for crisp, clean details Carefully cleaned and cured Supports removed with attention to preserving fine detail 📏 Available Sizes32mm (standard tabletop scale) Custom sizes are available upon request—please send a message for pricing and availability. 🎨 For HobbyistsPainters and kitbashers will find this kit a feast. The sculpt offers: Deep armor recesses for dramatic shading Clean planes for bold highlights Engraved runes and purity seals begging for OSL, glow effects, or weathering Cloth textures and layered plating perfect for advanced techniques Enough modularity to create dozens of unique warriors Whether you’re a beginner seeking a striking centerpiece or a veteran painter chasing the perfect grimdark glow, this kit rewards every brushstroke. 📜 Licensing & CreditsThis miniature is officially licensed for physical sale. Sculpt & Design: Eight Legs Miniatures Promotional Images: Provided by Eight Legs Miniatures 📦 Shipping & HandlingSecurely packaged to prevent damage Processing times listed in shop policies",in_stock,,,https://emperiumforgeworks.com/shop/demon-hunters-heavy-armor-squad,,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/demon-hunters-heavy-armor-squad/1783042873313-720X720-1.jpg,79.99 USD,,,no,,demon-hunters-heavy-armor-squad,Emperium Forgeworks,"""Unpainted resin miniature"", ""High-resolution resin print"", ""Sci-Fi collectible""",Category: Sci-Fi,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/demon-hunters-heavy-armor-squad/1783042873704-2.jpg,new,no,,,,,,Resin,,adult,,,,,,,,,,,
dimensional-shambler,Dimensional Shambler,"🌀Twisted horrors phasing between realities, the Dimensional Shamblers make for perfect boss monsters, elite encounters, or centerpiece display pieces. These are large 80–100mm resin miniatures, packed with sinewy detail and dynamic posing. ⚠️ Please Note: This listing is for an UNPAINTED resin miniature. The painted images shown are official promotional renders to showcase the sculpt’s detail and painting potential. ⚔️ About the MiniatureShambler (No Portal): a towering, fully‑formed creature. Shambler (With Portal): emerging mid‑rift, ideal for spell effects or dimensional breaches. 🧱 Print QualityPrinted in high-resolution resin for crisp, clean details Carefully cleaned and cured Supports removed with attention to preserving fine detail 📏 Available SizesDesigned in 32mm scale based on a standard human reference Final height: 80–100mm from base to top (oversized monster) Scale may vary between models to accurately reflect different poses and proportions Custom sizes are available upon request—please send a message for pricing and availability. 🎨 Perfect ForTabletop RPGs (D&D, Pathfinder, etc.) Grimdark and cosmic‑horror encounters Painters seeking a dramatic centerpiece Display pieces and collection builds 📜 Licensing & CreditsThis miniature is officially licensed for physical sale. Sculpt & Design: NS Miniatures Promotional Images: Provided by NS Miniatures 📦 Shipping & HandlingSecurely packaged to prevent damage Processing times listed in shop policies",in_stock,,,https://emperiumforgeworks.com/shop/dimensional-shambler,,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/dimensional-shambler/1781381934253-720X720-11.jpg,14.99 USD,,,no,,dimensional-shambler,Emperium Forgeworks,"""Unpainted resin miniature"", ""High-resolution resin print"", ""Horror collectible""",Category: Horror,"https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/dimensional-shambler/1781381934890-720X720-01.jpg,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/dimensional-shambler/1781381935019-720X720-02.jpg,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/dimensional-shambler/1781381935198-720X720-04.jpg,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/dimensional-shambler/1781381935326-720X720-06.jpg,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/dimensional-shambler/1781381935768-720X720-07.jpg,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/dimensional-shambler/1781381936206-720X720-08.jpg,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/dimensional-shambler/1781381936655-720X720-10.jpg",new,no,,,,,,Resin,,adult,,,,,,,,,,,
chaplain-elite-exterminators-miniature-sci-fi-armored-warrior-42mm-resin-model-power-sword-claw,Exterminator Battle Chaplain,"Strike fear into the battlefield with the Executioner, an elite warrior of the Exterminators—a towering figure clad in ornate power armor and armed for swift, brutal justice. With its raised blade and clawed gauntlet, this miniature embodies precision, strength, and grim determination—perfect for collectors, painters, and tabletop commanders seeking a centerpiece model. ⚠️ Please NoteThis listing is for an UNPAINTED and UNASSEMBLED resin miniature. ⚔️ About the MiniatureHeavily armored Exterminator elite design Includes Power Sword and Power Claw Intricate armor detailing: skull motifs, winged insignias, and layered plating Backpack power unit and reinforced shoulder armor Perfect for display painting, conversions, or tabletop hero units This item is for 1 terminator with all of the parts shown in the photos 🧱 Print QualityPrinted in high‑resolution resin for crisp, sharp detail Thoroughly cleaned and fully cured Supports removed with attention to fine features Ready for priming and painting 📏 Available Sizes42mm (standard elite scale) Custom sizes are available—message for pricing and availability. 🎨 Perfect for Painters & CollectorsThis sculpt offers a rich mix of textures ideal for advanced painting techniques such as edge highlighting, weathering, and metallic shading. A commanding centerpiece for any sci‑fi army or display shelf. 📦 ShippingSecure packaging to protect delicate parts Combined shipping available for multiple items",in_stock,,,https://emperiumforgeworks.com/shop/chaplain-elite-exterminators-miniature-sci-fi-armored-warrior-42mm-resin-model-power-sword-claw,,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/chaplain-elite-exterminators-miniature-sci-fi-armored-warrior-42mm-resin-model-power-sword-claw/1781292101316-chaplain_1.jpg,12.99 USD,,,no,,chaplain-elite-exterminators-miniature-sci-fi-armored-warrior-42mm-resin-model-power-sword-claw,Emperium Forgeworks,"""Unpainted resin miniature"", ""High-resolution resin print"", ""Sci-Fi collectible""",Category: Sci-Fi,"https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/chaplain-elite-exterminators-miniature-sci-fi-armored-warrior-42mm-resin-model-power-sword-claw/1781292104729-chaplain_2.jpg,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/chaplain-elite-exterminators-miniature-sci-fi-armored-warrior-42mm-resin-model-power-sword-claw/1781292129101-back-right.JPG,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/chaplain-elite-exterminators-miniature-sci-fi-armored-warrior-42mm-resin-model-power-sword-claw/1781292122841-DSC_6992_edited.JPG,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/chaplain-elite-exterminators-miniature-sci-fi-armored-warrior-42mm-resin-model-power-sword-claw/1781292126483-DSC_7009_edited.JPG,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/chaplain-elite-exterminators-miniature-sci-fi-armored-warrior-42mm-resin-model-power-sword-claw/1781292114363-chaplain_duo.jpg",new,no,,,,,,Resin,,adult,,,,,,,,,,,
5-pack-exterminator-miniatures-sci-fi-armored-wargame-figures,Exterminators,"A full squad of 5 Exterminators—heavy sci-fi armored infantry perfect for grimdark tabletop battles or display painting. Each figure is highly detailed, durable, and 3D printed for crisp, clean results. Bring elite firepower to your tabletop with this Exterminator squad. Designed with thick armor plating, heroic proportions, and dynamic poses, these miniatures make excellent proxies, kitbash bases, or standout additions to any sci-fi army. ⚠️ Unpainted and unassembled resin miniatures. What’s Included5 unique Exterminator miniatures Heroic sci-fi heavy armor style High-detail resin 3D prints Ready to paint ImportantMiniatures are supplied unassembled and unpainted to preserve fine details, ensure safe shipping, and allow for customization. Perfect ForTabletop wargaming Grimdark sci-fi armies Painters and collectors Dioramas and display pieces Proxy units or custom chapters Sizing & Scale40-42mm heroic scale Quality & MaterialPrinted in high-resolution resin Clean, crisp details Supports removed and lightly cleaned Unpainted, ready for primer Shipping & Guarantee Your models are packaged securely to prevent damage. If anything arrives broken, message me within 7 days with a photo and I’ll replace the part.",in_stock,,,https://emperiumforgeworks.com/shop/5-pack-exterminator-miniatures-sci-fi-armored-wargame-figures,,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/5-pack-exterminator-miniatures-sci-fi-armored-wargame-figures/1781291110972-group.jpg,10.99 USD,,,no,,5-pack-exterminator-miniatures-sci-fi-armored-wargame-figures,Emperium Forgeworks,"""Unpainted resin miniature"", ""High-resolution resin print"", ""Sci-Fi collectible""",Category: Sci-Fi,"https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/5-pack-exterminator-miniatures-sci-fi-armored-wargame-figures/1781291119203-term-1.jpg,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/5-pack-exterminator-miniatures-sci-fi-armored-wargame-figures/1781291122567-term-2.jpg,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/5-pack-exterminator-miniatures-sci-fi-armored-wargame-figures/1781291125319-term-3.jpg,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/5-pack-exterminator-miniatures-sci-fi-armored-wargame-figures/1781291129810-term-5.jpg,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/5-pack-exterminator-miniatures-sci-fi-armored-wargame-figures/1781291131913-term4.jpg",new,no,,,,,,Resin,,adult,,,,,,,,,,,
female-samurai,Female Samurai,"Strike from the shadows with this Female Samurai miniature — a poised, deadly warrior captured mid‑kneel, blade drawn and ready to strike. With flowing robes, ornate armor, and a fierce expression, this sculpt delivers a perfect blend of elegance and lethality for painters, collectors, and tabletop adventurers. ⚠️ Please Note: This listing is for an UNPAINTED resin miniature. The painted images shown are official promotional renders to showcase the sculpt’s detail and painting potential. ⚔️ About the MiniatureDynamic kneeling samurai pose with drawn katana Flowing layered robes with crisp fabric texture Ornate shoulder armor featuring beast‑head motif High‑detail hair sculpt with tied ponytail Perfect for DnD, Pathfinder, L5R, and fantasy RPGs Excellent centerpiece or character model for painters 🧱 Print QualityPrinted in high-resolution resin for crisp, clean details Carefully cleaned and cured Supports removed with attention to preserving fine detail 📏 Available Sizes32mm (standard tabletop scale) 40mm (heroic scale) 75mm (display scale) 150mm (statue size) Custom sizes are available upon request—please send a message for pricing and availability. 🎨 For HobbyistsThis model is perfect for painters looking to bring a fierce character to life. The detailed musculature, cloth wraps, and armor textures make it a rewarding piece for both beginners and experienced painters. 📜 Licensing & CreditsThis miniature is officially licensed for physical sale. Sculpt & Design: Promotional Images: Provided by 📦 Shipping & HandlingSecurely packaged to prevent damage Processing times listed in shop policies",in_stock,,,https://emperiumforgeworks.com/shop/female-samurai,,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/female-samurai/1781545160591-720X720-Sanurai__F__-_Com_Logo.png,10.99 USD,,,no,,female-samurai,Emperium Forgeworks,"""Unpainted resin miniature"", ""High-resolution resin print"", ""Fantasy collectible""",Category: Fantasy,https://amplify-d25csy1hf0rl22-ma-productimagesbucketf9909-b84mnfgiccm4.s3.us-east-1.amazonaws.com/products/female-samurai/1781545161006-720X720-Sanurai__C__-_Com_Logo.png,new,no,,,,,,Resin,,adult,,,,,,,,,,,
